  SITE      DAY     MONTH    YEAR     RMILE   STATION  LB.DIST   DEPTH   MEANVEL    QW      CONC      QS      LOAD     TEMP      DO       PH      COND     TURB    SECCHI     TOC      CO3      DOC      POC      TUN      TFN      NO2
     3.5     0.18     0.56     0.45     0.13     0.27      163      295
     3.2     0.18     0.52     0.46     0.17     0.31      170      330
     3.3     0.18      0.5     0.44     0.18      0.3      170      230
     3.4     0.18     0.46     0.38     0.19     0.29      174      280
    0.63     0.27     0.85     0.73      0.1     0.16      178      390
    0.52     0.57        1     0.98     0.15     0.19      169      230
    0.59     0.54        1     0.95     0.21     0.25      169      335
    0.18      0.2     0.67     0.64     0.15     0.19      177      300
    0.16      0.3     0.82     0.74     0.23     0.25      177      335
    0.16     0.24     0.75     0.75      0.2     0.22      177      295
    0.16     0.18     0.84     0.84     0.21     0.22      177      395
    0.56     0.25      0.8     0.69     0.09     0.17      174      430
    0.52     0.48     0.94     0.89     0.15     0.18      172      280
    0.51     0.53     0.97     0.93     0.16      0.2      172      335
     0.5     0.62      1.2      1.1     0.18     0.28      172      355
    0.17     0.21      0.9     0.83     0.18     0.21      175      365
    0.17     0.23     0.89     0.81     0.17     0.19      175      370
    0.14     0.12     0.97     0.94     0.21     0.21      177      405
     1.8     0.58      0.7     0.52     0.15     0.29      179      400
     2.3      0.5     0.66     0.49     0.19      0.3      170      215
     2.6      0.5     0.59     0.43     0.22     0.33      173      315
     2.9      0.5     0.59     0.42     0.25     0.32      175      230
     2.8     0.18      0.5     0.46     0.13     0.29      158      260
     3.2     0.18     0.54     0.44     0.15      0.3      165      315
     3.3     0.18     0.53     0.44     0.17     0.34      172      350
     3.4     0.18     0.45     0.38     0.18      0.3      174      325
     3.3     0.18      0.5     0.45      0.2     0.24      175      350
    0.63     0.25     0.81     0.67      0.1     0.14      178      350
    0.56     0.45        1     0.88     0.12     0.16      172      255
    0.52      0.5        1     0.93     0.15     0.18      172      340
